sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,after,7.58E-05,0.0677788,0.0151,6.06E-05,0.494144731
40-50-16,after,7.69E-06,0.023752,0.0015,2.88E-06,0.652594886
40-50-16,after,6.26E-05,0.0560087,0.0111,4.99E-05,0.590168578
40-50-16,after,4.07E-05,0.0648448,0.0076,3.01E-05,0.615816615
40-50-16,after,0.00164283,0.21495,0.2687,0.001298944,0.214261084
40-50-16,after,1.10E-05,0.0351498,0.0022,4.74E-06,0.620568332
40-50-16,after,0.00102196,0.2002,0.1757,0.000809226,0.239015179
40-50-16,after,5.49E-06,0.024092,0.0006,6.62E-07,0.612028793
40-50-16,after,0.00332521,0.27477,0.5391,0.002925846,0.183505519
40-50-16,after,7.69E-06,0.0320585,0.0015,3.50E-06,0.7436839
40-50-16,after,2.31E-05,0.0534465,0.0038,8.35E-06,0.523997415
40-50-16,after,0.000104394,0.0803954,0.018,6.45E-05,0.432182234
40-50-16,after,0.00100218,0.123696,0.1618,0.000839497,0.265981586
40-50-16,after,0.00197139,0.425551,0.3204,0.001670889,0.212531487
40-50-16,after,5.16E-05,0.0589498,0.0099,3.62E-05,0.534342208
40-50-16,after,1.43E-05,0.0384856,0.0027,8.76E-06,0.761130424
40-50-16,after,0.00103185,0.218724,0.1683,0.000821462,0.252033512
40-50-16,after,6.59E-06,0.0235553,0.0014,3.02E-06,0.722072286
40-50-16,after,7.69E-06,0.0231681,0.0014,3.33E-06,0.770790954
40-50-16,after,3.30E-05,0.0480048,0.0063,2.29E-05,0.619227929
40-50-16,after,0.000092306,0.0671452,0.0163,4.57E-05,0.379168548
40-50-16,after,0.000282412,0.0967978,0.0457,0.000245095,0.414435946
40-50-16,after,9.89E-06,0.0279053,0.0018,4.70E-06,0.753854877
40-50-16,after,8.79E-06,0.0240656,0.0014,2.14E-06,0.572827495
40-50-16,after,1.98E-05,0.0525449,0.0029,3.86E-06,0.410075436
40-50-16,after,1.76E-05,0.0351417,0.0035,1.11E-05,0.686536927
40-50-16,after,0.000938444,0.153326,0.1663,0.000845289,0.25997327
40-50-16,after,9.89E-06,0.0330227,0.0017,4.49E-06,0.774619492
40-50-16,after,5.49E-06,0.0209113,0.0007,9.99E-07,0.690243398
40-50-16,after,0.000290105,0.0750182,0.0517,0.000226967,0.348045363
